article,creationDate,link
Lenovo führt Gaming-Familie Legion ein,05.01.2017,/newsticker/meldung/Lenovo-fuehrt-Gaming-Familie-Legion-ein-3588778.html
AMD zeigt Ryzen und Vega in Aktion,05.01.2017,/newsticker/meldung/AMD-zeigt-Ryzen-und-Vega-in-Aktion-3588751.html
Apple löscht New York Times-Apps in China,05.01.2017,/newsticker/meldung/Apple-loescht-New-York-Times-Apps-in-China-3588729.html
"""8K""-Virtual-Reality-Headset von Pimax ausprobiert",05.01.2017,/newsticker/meldung/8K-Virtual-Reality-Headset-von-Pimax-ausprobiert-3588685.html
Asus Zenfone AR: Smartphone für (halb-)virtuelle Welten,05.01.2017,/newsticker/meldung/Asus-Zenfone-AR-Smartphone-fuer-halb-virtuelle-Welten-3588737.html
Intel setzt bei Quantencomputern auf Silizium-Technik,05.01.2017,/newsticker/meldung/Intel-setzt-bei-Quantencomputern-auf-Silizium-Technik-3587747.html
Outdoor-Smartwatch von Casio mit Android Wear 2.0,05.01.2017,/newsticker/meldung/Outdoor-Smartwatch-von-Casio-mit-Android-Wear-2-0-3588599.html
Gigabit-LTE: Nokia und T-Mobile USA melden erfolgreichen Feldversuch,05.01.2017,/newsticker/meldung/Gigabit-LTE-Nokia-und-T-Mobile-USA-melden-erfolgreichen-Feldversuch-3588609.html
Revell C-me: Fliegende Kamera als Selfie-Stick-Ersatz,05.01.2017,/newsticker/meldung/Revell-C-me-Fliegende-Kamera-als-Selfie-Stick-Ersatz-3587874.html
Audio/Video-Schnittstelle HDMI 2.1: Die Details zu den neuen Funktionen ,05.01.2017,/newsticker/meldung/Audio-Video-Schnittstelle-HDMI-2-1-Die-Details-zu-den-neuen-Funktionen-3588578.html
enterJS: Jetzt noch Vortragsvorschlag für die JavaScript-Konferenz einreichen,05.01.2017,/newsticker/meldung/enterJS-Jetzt-noch-Vortragsvorschlag-fuer-die-JavaScript-Konferenz-einreichen-3569819.html
Mercedes: Was neuronale Netze im Auto leisten können und warum KI vielleicht scheitert,05.01.2017,/newsticker/meldung/Mercedes-Was-neuronale-Netze-im-Auto-leisten-koennen-und-warum-KI-vielleicht-scheitert-3588654.html
Pokern gegen KI: Profis spielen im Januar gegen Libratus,05.01.2017,/newsticker/meldung/Pokern-gegen-KI-Profis-spielen-im-Januar-gegen-Libratus-3588472.html
